text,wherestudent,whereadmin,whereprof,whereperson,wherebuild,whereclassroom,classesprofessor,subjectprofessors,studenttutor,grouptutor,classroomoccupied,groupstudents,groupclasses,groupclassroom,careergroups,careercoord,time
Where can I find the student Elizabeth Ramos?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
How do I locate student Rayner Mathew? ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm trying to find the student Rayner Mathew. Where should I go to meet him?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm looking for this student: Emily Davis,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Where is Sandalio Leith currently located within the university? ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Could you assist me in locating student Kyson Earnestine, please? ",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I need to find Alex Ramirez. Can you tell me where he is? ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Is there a way to track down student Lisa Wilson within the university? ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tell me the whereabouts of student Jessica Lee, if you can. ",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I have information on a student named Robert Miller. Where can I find him? ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Help me locate the student Jennifer Brown within the university grounds. ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm trying to find student Daniel Taylor. Where should I go to meet him? ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Where can I find John Smith around 3:00 pm today?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Is Sarah Johnson in the library this morning?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
I need to locate Michael Brown by this afternoon. Where might he be?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Can someone tell me where Emily Clark will be at 10:00 am?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Do you know the current location of Carlos Martinez at 2:30 pm?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Where should I look for Emma Wilson during the evening?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
I'm trying to find Oliver Lee in the evening. Any idea where he might be?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
At what place can I meet Jessica Li around noon?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Where is Daniel Garcia expected to be this afternoon?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Could you tell me where to find Sophia Patel at 11:00 am?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
I'm searching for Lucas Nguyen in the early morning. Any suggestions?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Where could Chloe Kim be found at 4:00 pm today?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Any clue about the whereabouts of Mia Robinson around lunchtime?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Where can I find the administrator Jane Doe in the campus?,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
