text,wherestudent,whereadmin,whereprof,whereperson,wherebuild,whereclassroom,classesprofessor,subjectprofessors,studenttutor,grouptutor,classroomoccupied,groupstudents,groupclasses,groupclassroom,careergroups,careercoord,time
Can you find out if classroom H809 is being used this Thursday at 11:00 am?,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Can you tell me if classroom B203 is in use this Friday at 2:00 pm?,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
I want to know the members of the Embedded 2H group.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
What is the current teaching timetable for Kevin Garcia?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I'm interested in the faculty teaching Computational Theory.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Show me the course lineup for Embedded Systems 4G.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Can you provide a list of students in the Data 3A group?,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Is Sarah Johnson in the library this morning?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Excuse me, what's the best route to classroom G789?",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"I'm trying to find the administrative assistant, Sarah Wilson. Where should I look?",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Is there a class scheduled in classroom D405 this afternoon?,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Is classroom A102 in use right now?,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
I need to track down someone called Lisa Davis. Any idea where she is this evening?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Do you know where Maria Garcia is at the moment, say around 2:30 pm?",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"I'm looking for Building H, can you assist me?",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
I need to know where the Cybersecurity 4C group meets.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
